lower_depth,dist,grade,type,rmf_conc_pct,rmf_conc_contr,rmf_depl,matrix_conc,hue,value,chroma,cf_mod,class,sand_pct,clay_pct,silt_pct,eff_yn,prefic,master,suffix,no
10,C,1,GR,2,D,FED,FM,10YR,4,2,-,S,88,2,10,N,-,A,-,1
19,G,1,SBK,4,D,FED,FM,10YR,4,2,-,S,96,1,3,N,-,A,-,2
49,A,0,MA,4,D,DMX,FM,10YR,6,2,-,S,92,2,6,N,-,B,g,-
76,C,1,SBK,14,D,DMX,FM,10YR,4,2,-,S,94,2,4,N,2,B,gb,1
90,G,1,SBK,10,D,DMX,FM,10YR,4,2,-,S,94,1,5,N,2,B,gb,2
105,-,1,SBK,10,D,DMX,FM,10YR,4,2,-,S,94,1,5,N,2,B,gb,3
