lower_depth,dist,grade,type,rmf_conc_pct,rmf_conc_contr,rmf_depl,matrix_conc,hue,value,chroma,cf_mod,class,sand_pct,clay_pct,silt_pct,eff_yn,prefic,master,suffix,no
24,C,3,GR,-,-,-,-,10YR,2,1,-,SICL,3,35,62,N,-,A,-,1
54,G,2,SBK,-,-,-,-,10YR,2,1,-,SICL,5,32,63,N,-,A,-,2
96,G,2,PR,-,-,-,-,10YR,2,1,-,SICL,4,34,62,N,2,B,t,1
130,-,2,PR,-,-,-,-,10YR,2,1,-,SICL,5,35,60,N,2,B,t,2
